"데이터버전","분석단위","자치구명","법정동명","법정동코드8","면적구간","예산구간","거래건수","가격_중앙값_만원","가격_중앙값_억원","단가_중앙값_만원_m2","최소금액_만원","최대금액_만원","거래기간_시작","거래기간_끝","가격표본_신뢰도","GBD_시간분","YBD_시간분","CBD_시간분","3대도심_평균통근시간분","강남_광화문_평균통근시간분","강남_광화문_최장통근시간분","강남_여의도_평균통근시간분","강남_여의도_최장통근시간분","여의도_광화문_평균통근시간분","여의도_광화문_최장통근시간분","매핑_행정동수","통근자료_매핑수","통근자료상태","하락기_낙폭_%","저점대비_회복률_%","방어력_고점분기","방어력_저점분기","방어력_최근분기","유효분기수","방어력_거래건수합","현재고점_미검증","방어력상태","3040비중_%","3040_기준분기","통근점수","방어력점수","3040친화점수","유동성점수","통근점수_강남_광화문","통근점수_강남_여의도","통근점수_여의도_광화문","기존후보마스터_종합점수","기준_종합점수_검토용","최종_종합점수","통근우선_종합점수","방어우선_종합점수","시나리오점수_강남_광화문","시나리오점수_강남_여의도","시나리오점수_여의도_광화문","추천순위_예산면적내","통근우선순위_예산면적내","방어우선순위_예산면적내","강남_광화문_순위_예산면적내","강남_여의도_순위_예산면적내","여의도_광화문_순위_예산면적내","최종추천대상","추천상태","제외_주의사유","가격_산정기준","통근_산정기준","점수_가중치","참조기록","예산상한_억원","예산잔액_억원","가성비율_%","가성비순위_예산면적내","가성비점수","최종_안정성점수","안정성_출처","최종_종합점수_v2","추천상태_v2","최종추천대상_v2"
"v4.0_20260902","법정동×면적구간","강서구","방화동","11500109.0","84㎡급(80~90)","7~9억","133","76800.0","7.68","914.41111923921","49000","117000","20260104","20260815","충분(10건+)","74.9","49.1","68.4","64.1","71.7","74.9","62.0","74.9","58.8","68.4","4","4","검증완료_v2기준","-33.1","80.3","20213.0","20223.0","20261.0","21.0","1869.0","False","검증완료","30.83","20261","36.4","49.1","49.5","71.0","8.7","44.5","44.3","47.7","46.9","46.9","45.0","47.6","37.2","49.8","49.7","19.0","21.0","20.0","27.0","15.0","13.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","9.0","1.32","14.7","11","76.2","49.1","방어력(실측)","46.9","최종추천가능","True"
"v4.0_20260902","법정동×면적구간","노원구","공릉동","11350103.0","84㎡급(80~90)","7~9억","207","79000.0","7.9","933.25457767277","46300","144500","20260102","20260817","충분(10건+)","64.2","72.2","56.7","64.4","60.4","64.2","68.2","72.2","64.4","72.2","2","2","검증완료_v2기준","-26.6","49.5","20222.0","20224.0","20261.0","21.0","2838.0","False","검증완료","24.67","20261","35.9","59.2","35.0","78.5","36.5","32.2","33.6","46.6","46.9","46.9","44.6","49.3","47.1","45.6","46.1","20.0","23.0","18.0","14.0","20.0","23.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","9.0","1.1","12.2","16","63.1","59.2","방어력(실측)","46.9","최종추천가능","True"
"v4.0_20260902","법정동×면적구간","은평구","역촌동","11380108.0","84㎡급(80~90)","7~9억","22","70500.0","7.05","830.48651195665","41600","123000","20260207","20260814","충분(10건+)","77.9","55.1","53.5","62.2","65.7","77.9","66.5","77.9","54.3","55.1","1","1","검증완료_v2기준","-28.4","22.2","20244.0","20253.0","20261.0","18.0","294.0","False","검증완료","28.5","20261","41.2","56.4","44.0","41.3","23.5","35.5","52.9","46.2","46.5","46.5","44.8","47.8","40.3","44.5","50.6","21.0","22.0","19.0","25.0","24.0","12.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","9.0","1.95","21.7","2","97.6","56.4","방어력(실측)","46.5","최종추천가능","True"
"v4.0_20260902","법정동×면적구간","강동구","성내동","11740108.0","84㎡급(80~90)","7~9억","86","90000.0","9.0","1071.92188400358","48310","171600","20260103","20260813","충분(10건+)","51.3","69.4","58.3","59.7","54.8","58.3","60.4","69.4","63.9","69.4","3","3","검증완료_v2기준","-42.9","57.0","20212.0","20224.0","20261.0","21.0","1248.0","False","검증완료","31.23","20261","47.3","33.8","50.4","63.7","50.5","47.7","34.6","45.0","45.7","45.7","46.9","44.2","46.8","45.8","41.2","22.0","19.0","27.0","15.0","19.0","27.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","9.0","0.0","0.0","41","2.4","33.8","방어력(실측)","45.7","최종추천가능","True"
"v4.0_20260902","법정동×면적구간","구로구","고척동","11530106.0","84㎡급(80~90)","7~9억","171","73000.0","7.3","860.13903617297","48500","126087","20260105","20260814","충분(10건+)","76.9","47.6","67.9","64.1","72.4","76.9","62.2","76.9","57.8","67.9","2","2","검증완료_v2기준","-32.2","56.8","20214.0","20223.0","20261.0","21.0","1287.0","False","검증완료","25.89","20261","36.4","50.5","37.9","75.3","6.8","44.0","46.2","45.5","44.9","44.9","43.4","46.2","34.5","47.6","48.3","23.0","24.0","23.0","29.0","17.0","16.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","9.0","1.7","18.9","5","90.5","50.5","방어력(실측)","44.9","최종추천가능","True"
"v4.0_20260902","법정동×면적구간","구로구","천왕동","11530111.0","84㎡급(80~90)","7~9억","43","77500.0","7.75","912.086618806638","67000","96000","20260102","20260808","충분(10건+)","72.2","55.9","67.8","65.3","70.0","72.2","64.0","72.2","61.8","67.8","1","1","검증완료_v2기준","-25.9","58.2","20213.0","20232.0","20261.0","14.0","150.0","False","검증완료","25.14","20261","33.6","60.3","36.1","52.2","12.8","40.4","38.5","44.4","44.1","44.1","41.3","46.6","36.8","46.5","45.8","24.0","26.0","22.0","28.0","18.0","24.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","9.0","1.25","13.9","12","73.8","60.3","방어력(실측)","44.1","최종추천가능","True"
"v4.0_20260902","법정동×면적구간","도봉구","창동","11320107.0","84㎡급(80~90)","7~9억","222","86650.0","8.66","1022.47924054971","49300","123700","20260102","20260813","충분(10건+)","77.0","75.4","56.3","69.6","66.6","77.0","76.2","77.0","65.8","75.4","5","5","검증완료_v2기준","-27.7","29.3","20221.0","20224.0","20261.0","21.0","3131.0","False","검증완료","27.18","20261","23.1","57.5","40.9","79.6","21.2","16.2","30.9","43.6","43.5","43.5","39.2","46.1","42.9","41.1","46.2","25.0","28.0","24.0","20.0","28.0","22.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","9.0","0.34","3.8","37","14.3","57.5","방어력(실측)","43.5","최종추천가능","True"
"v4.0_20260902","법정동×면적구간","중랑구","신내동","11260106.0","84㎡급(80~90)","7~9억","180","70250.0","7.02","829.941212431759","34600","92300","20260103","20260821","충분(10건+)","65.0","79.0","61.2","68.4","63.1","65.0","72.0","79.0","70.1","79.0","2","2","검증완료_v2기준","-29.0","43.7","20214.0","20231.0","20261.0","21.0","2051.0","False","검증완료","26.26","20261","26.0","55.5","38.7","76.1","30.0","24.5","22.9","43.1","43.0","43.0","39.4","45.4","44.4","42.5","42.0","26.0","27.0","26.0","18.0","26.0","25.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","9.0","1.98","22.0","1","100.0","55.5","방어력(실측)","43.0","최종추천가능","True"
"v4.0_20260902","법정동×면적구간","노원구","하계동","11350104.0","84㎡급(80~90)","7~9억","126","89000.0","8.9","1049.8997286776","60000","125000","20260110","20260808","충분(10건+)","64.2","79.8","63.0","69.0","63.6","64.2","72.0","79.8","71.4","79.8","2","2","검증완료_v2기준","-23.4","36.9","20221.0","20232.0","20261.0","21.0","1738.0","False","검증완료","22.76","20261","24.4","64.2","30.5","70.1","28.6","24.5","20.3","42.3","42.4","42.4","38.2","46.1","43.9","42.5","41.0","27.0","29.0","25.0","19.0","27.0","29.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","9.0","0.1","1.1","40","7.1","64.2","방어력(실측)","42.4","최종추천가능","True"
"v4.0_20260902","법정동×면적구간","영등포구","대림동","11560133.0","84㎡급(80~90)","7~9억","170","86350.0","8.64","1027.68993623533","57500","165000","20260105","20260810","충분(10건+)","55.8","35.6","58.0","49.8","56.9","58.0","45.7","55.8","46.8","58.0","4","4","검증완료_v2기준","-64.6","81.3","20213.0","20223.0","20261.0","21.0","1356.0","False","검증완료","23.93","20261","71.7","0.0","33.2","75.2","45.4","77.1","67.1","41.3","40.9","40.9","50.0","35.7","31.7","42.8","39.3","28.0","10.0","30.0","30.0","25.0","30.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","9.0","0.36","4.0","35","19.0","0.0","방어력(실측)","40.9","최종추천가능","True"
"v4.0_20260902","법정동×면적구간","성북구","정릉동","11290133.0","84㎡급(80~90)","7~9억","212","74000.0","7.4","870.844393125678","30000","108000","20260103","20260815","충분(10건+)","69.4","69.3","46.7","61.8","58.1","69.4","69.4","69.4","58.0","69.3","4","4","검증완료_v2기준","-45.0","15.2","20224.0","20232.0","20261.0","21.0","2097.0","False","검증완료","24.56","20261","42.1","30.5","34.7","78.9","42.4","29.8","45.8","39.8","40.4","40.4","42.0","39.7","40.6","36.1","41.7","29.0","25.0","29.0","24.0","30.0","26.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","9.0","1.6","17.8","7","85.7","30.5","방어력(실측)","40.4","최종추천가능","True"
"v4.0_20260902","법정동×면적구간","노원구","중계동","11350106.0","84㎡급(80~90)","7~9억","242","87000.0","8.7","1024.30081403631","41800","143000","20260102","20260810","충분(10건+)","73.4","85.0","65.9","74.8","69.7","73.4","79.2","85.0","75.4","85.0","4","4","검증완료_v2기준","-25.5","38.5","20214.0","20224.0","20261.0","21.0","3951.0","False","검증완료","27.16","20261","10.3","60.9","40.8","81.1","13.6","10.1","12.7","40.3","40.2","40.2","33.6","43.7","41.3","40.1","41.0","30.0","30.0","28.0","22.0","29.0","28.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","9.0","0.3","3.3","38","11.9","60.9","방어력(실측)","40.2","최종추천가능","True"
"v4.0_20260902","법정동×면적구간","강서구","염창동","11500101.0","84㎡급(80~90)","9~12억","215","108000.0","10.8","1272.53446447508","60000","175000","20260102","20260819","충분(10건+)","61.8","31.8","53.5","49.0","57.6","61.8","46.8","61.8","42.6","53.5","1","1","검증완료_v2기준","-25.2","86.6","20214.0","20224.0","20261.0","21.0","1893.0","False","검증완료","44.58","20261","73.5","61.4","81.8","79.1","43.5","74.8","75.0","72.1","72.5","72.5","73.3","70.9","62.0","73.0","73.0","1.0","1.0","2.0","3.0","1.0","1.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","12.0","1.2","10.0","35","36.4","61.4","방어력(실측)","72.5","최종추천가능","True"
"v4.0_20260902","법정동×면적구간","영등포구","문래동6가","11560124.0","84㎡급(80~90)","9~12억","10","108000.0","10.8","1272.94339871144","99000","149000","20260204","20260624","충분(10건+)","61.5","31.5","46.9","46.6","54.2","61.5","46.5","61.5","39.2","46.9","1","1","검증완료_v2기준","-26.2","64.2","20222.0","20244.0","20261.0","18.0","398.0","False","검증완료","48.74","20261","79.4","59.8","91.6","28.8","52.0","75.4","81.6","71.0","71.5","71.5","72.9","68.9","61.9","70.1","72.3","2.0","2.0","3.0","5.0","2.0","2.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","12.0","1.2","10.0","35","36.4","59.8","방어력(실측)","71.5","최종추천가능","True"
"v4.0_20260902","법정동×면적구간","서대문구","연희동","11410117.0","84㎡급(80~90)","9~12억","42","96250.0","9.62","1134.62218554757","40000","148262","20260127","20260805","충분(10건+)","72.3","43.3","46.3","54.0","59.3","72.3","57.8","72.3","44.8","46.3","1","1","검증완료_v2기준","-0.4","0.0","20254.0","20261.0","20261.0","19.0","477.0","False","검증완료","28.94","20261","61.4","100.0","45.0","51.8","39.4","52.9","70.9","67.5","67.9","67.9","64.9","72.6","60.2","64.9","71.2","3.0","6.0","1.0","6.0","6.0","3.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","12.0","2.38","19.8","11","81.8","100.0","방어력(실측)","67.9","최종추천가능","True"
"v4.0_20260902","법정동×면적구간","마포구","망원동","11440123.0","84㎡급(80~90)","9~12억","43","92000.0","9.2","1099.16085569082","72500","177000","20260109","20260808","충분(10건+)","68.3","39.6","50.2","52.7","59.3","68.3","53.9","68.3","44.9","50.2","2","2","검증완료_v2기준","-11.2","0.0","20254.0","20261.0","20261.0","20.0","569.0","False","검증완료","33.02","20261","64.5","83.2","54.6","52.2","39.4","60.6","70.7","66.6","66.4","66.4","65.0","68.8","57.6","65.0","68.6","4.0","5.0","4.0","11.0","4.0","4.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","12.0","2.8","23.3","2","97.3","83.2","방어력(실측)","66.4","최종추천가능","True"
"v4.0_20260902","법정동×면적구간","관악구","봉천동","11620101.0","84㎡급(80~90)","9~12억","333","116500.0","11.65","1371.23352165725","44700","166500","20260103","20260810","충분(10건+)","43.5","45.6","61.3","50.1","52.4","61.3","44.6","45.6","53.5","61.3","9","9","검증완료_v2기준","-26.8","95.4","20213.0","20224.0","20261.0","21.0","4454.0","False","검증완료","31.7","20261","70.8","58.9","51.5","86.5","56.5","79.3","54.4","63.9","64.0","64.0","66.1","63.7","59.0","67.0","58.2","6.0","4.0","8.0","7.0","3.0","15.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","12.0","0.35","2.9","48","14.5","58.9","방어력(실측)","64.0","최종추천가능","True"
"v4.0_20260902","법정동×면적구간","성북구","보문동3가","11290132.0","84㎡급(80~90)","9~12억","19","112000.0","11.2","1319.13690756619","70000","123000","20260113","20260730","충분(10건+)","57.6","57.4","36.0","50.3","46.8","57.6","57.5","57.6","46.7","57.4","1","1","검증완료_v2기준","-12.9","50.1","20213.0","20251.0","20261.0","11.0","101.0","False","검증완료","29.18","20261","70.3","80.5","45.6","38.9","70.4","53.5","67.3","63.2","64.0","64.0","64.3","66.3","64.1","58.2","63.0","5.0","7.0","6.0","2.0","10.0","6.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","12.0","0.8","6.7","40","29.1","80.5","방어력(실측)","64.0","최종추천가능","True"
"v4.0_20260902","법정동×면적구간","중구","황학동","11140165.0","84㎡급(80~90)","9~12억","50","118250.0","11.82","1392.32201208043","95000","139000","20260102","20260723","충분(10건+)","49.2","55.8","30.7","45.2","40.0","49.2","52.5","55.8","43.2","55.8","1","1","검증완료_v2기준","-33.8","85.1","20213.0","20224.0","20261.0","20.0","531.0","False","검증완료","35.23","20261","82.8","48.0","59.8","54.7","87.4","63.4","73.9","63.2","63.8","63.8","68.4","61.5","65.4","57.0","60.7","7.0","3.0","9.0","1.0","13.0","11.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","12.0","0.18","1.5","53","5.5","48.0","방어력(실측)","63.8","최종추천가능","True"
"v4.0_20260902","법정동×면적구간","강서구","화곡동","11500103.0","84㎡급(80~90)","9~12억","165","107000.0","10.7","1259.71273840358","30000","163000","20260106","20260810","충분(10건+)","73.8","44.4","61.8","60.0","67.8","73.8","59.1","73.8","53.1","61.8","8","8","검증완료_v2기준","-9.0","0.0","20254.0","20261.0","20261.0","21.0","2739.0","False","검증완료","33.51","20261","46.6","86.6","55.8","74.7","18.3","50.3","55.2","63.6","63.7","63.7","59.2","67.2","53.8","65.0","66.7","8.0","12.0","5.0","16.0","5.0","5.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","12.0","1.3","10.8","32","42.7","86.6","방어력(실측)","63.7","최종추천가능","True"
"v4.0_20260902","법정동×면적구간","종로구","명륜2가","11110171.0","84㎡급(80~90)","9~12억","18","117000.0","11.7","1378.09187279152","103500","129500","20260117","20260709","충분(10건+)","59.8","57.5","33.4","50.2","46.6","59.8","58.6","59.8","45.4","57.5","1","1","검증완료_v2기준","-10.2","100.0","20241.0","20252.0","20261.0","9.0","50.0","False","검증완료","23.39","20261","70.5","84.7","32.0","38.0","70.9","51.2","69.7","61.2","61.9","61.9","62.4","65.2","62.0","55.1","61.6","9.0","9.0","7.0","4.0","15.0","7.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","12.0","0.3","2.5","49","11.8","84.7","방어력(실측)","61.9","최종추천가능","True"
"v4.0_20260902","법정동×면적구간","강서구","등촌동","11500102.0","84㎡급(80~90)","9~12억","189","104000.0","10.4","1277.07156308851","43500","168000","20260103","20260820","충분(10건+)","67.4","38.1","61.5","55.7","64.5","67.4","52.8","67.4","49.8","61.5","4","4","검증완료_v2기준","-31.0","65.9","20221.0","20224.0","20261.0","21.0","2159.0","False","검증완료","37.78","20261","57.2","52.3","65.8","76.9","26.5","62.9","61.4","59.9","59.8","59.8","59.9","58.9","49.1","61.8","61.3","10.0","10.0","16.0","18.0","7.0","8.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","12.0","1.6","13.3","28","50.0","52.3","방어력(실측)","59.8","최종추천가능","True"
"v4.0_20260902","법정동×면적구간","서대문구","홍제동","11410111.0","84㎡급(80~90)","9~12억","212","99000.0","9.9","1170.03808945231","45000","187500","20260102","20260822","충분(10건+)","62.8","49.6","37.2","49.9","50.0","62.8","56.2","62.8","43.4","49.6","3","3","검증완료_v2기준","-29.9","86.6","20213.0","20224.0","20261.0","21.0","1944.0","False","검증완료","27.18","20261","71.4","54.0","40.9","78.9","62.4","56.1","73.5","59.0","59.3","59.3","62.6","59.1","56.2","54.0","60.0","11.0","8.0","15.0","12.0","16.0","12.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","12.0","2.1","17.5","21","63.6","54.0","방어력(실측)","59.3","최종추천가능","True"
"v4.0_20260902","법정동×면적구간","동대문구","장안동","11230106.0","84㎡급(80~90)","9~12억","200","96500.0","9.65","1137.82412273006","48000","139000","20260106","20260823","충분(10건+)","56.6","63.6","51.2","57.2","54.0","56.6","60.1","63.6","57.4","63.6","2","2","검증완료_v2기준","-23.8","39.8","20252.0","20254.0","20261.0","21.0","1913.0","False","검증완료","32.52","20261","53.5","63.6","53.5","77.9","52.6","48.2","46.9","58.8","59.0","59.0","58.0","60.0","58.7","57.1","56.7","12.0","14.0","13.0","8.0","12.0","19.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","12.0","2.35","19.6","12","79.1","63.6","방어력(실측)","59.0","최종추천가능","True"
"v4.0_20260902","법정동×면적구간","동대문구","답십리동","11230105.0","84㎡급(80~90)","9~12억","153","108000.0","10.8","1272.08480565371","54000","180000","20260103","20260823","충분(10건+)","54.2","60.4","46.9","53.8","50.6","54.2","57.3","60.4","53.6","60.4","2","2","검증완료_v2기준","-22.1","0.0","20253.0","20261.0","20261.0","21.0","2872.0","False","검증완료","27.06","20261","61.7","66.2","40.6","73.4","61.1","53.9","54.1","58.6","58.9","58.9","59.6","60.5","58.7","56.2","56.3","13.0","11.0","11.0","10.0","14.0","20.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","12.0","1.2","10.0","35","36.4","66.2","방어력(실측)","58.9","최종추천가능","True"
"v4.0_20260902","법정동×면적구간","양천구","신정동","11470101.0","84㎡급(80~90)","9~12억","237","119500.0","11.95","1406.54425612053","51000","245000","20260105","20260815","충분(10건+)","70.9","41.2","58.2","56.8","64.5","70.9","56.1","70.9","49.7","58.2","6","6","검증완료_v2기준","-20.9","0.0","20234.0","20261.0","20261.0","21.0","4422.0","False","검증완료","28.65","20261","54.5","68.1","44.4","80.7","26.3","56.3","61.6","58.5","58.7","58.7","57.8","60.5","48.8","59.3","61.2","14.0","15.0","12.0","19.0","9.0","9.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","12.0","0.05","0.4","55","1.8","68.1","방어력(실측)","58.7","최종추천가능","True"
"v4.0_20260902","법정동×면적구간","성북구","동소문동7가","11290110.0","84㎡급(80~90)","9~12억","14","97250.0","9.72","1144.79105356092","85700","118000","20260110","20260808","충분(10건+)","62.4","61.3","36.6","53.4","49.5","62.4","61.8","62.4","49.0","61.3","1","1","검증완료_v2기준","-16.6","35.5","20212.0","20254.0","20261.0","9.0","79.0","False","검증완료","27.71","20261","62.7","74.8","42.1","34.0","63.7","44.8","63.0","57.7","58.3","58.3","58.1","60.6","58.7","52.0","58.4","15.0","13.0","10.0","9.0","17.0","14.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","12.0","2.28","19.0","17","70.9","74.8","방어력(실측)","58.3","최종추천가능","True"
"v4.0_20260902","법정동×면적구간","강서구","마곡동","11500105.0","84㎡급(80~90)","9~12억","154","115500.0","11.55","1360.90491339696","59000","198500","20260103","20260803","충분(10건+)","74.3","46.6","66.3","62.4","70.3","74.3","60.4","74.3","56.5","66.3","5","5","검증완료_v2기준","-34.8","84.4","20222.0","20234.0","20261.0","20.0","1349.0","False","검증완료","48.32","20261","40.6","46.4","90.6","73.5","12.0","47.6","48.7","58.7","58.1","58.1","55.0","56.2","48.1","60.6","61.0","16.0","19.0","19.0","23.0","8.0","10.0","True","최종추천가능","","2026년 서울 아파트 실거래(취소제외), 면적구간별 중앙값","v2 행정동 통근시간을 KIKmix 가중치로 법정동 환산; GBD 6개·YBD 여의동·CBD 3개 핵심 행정동","기준=통근35+방어30+3040 25+유동성10","대화기록_1조프로젝트_데이터검증_20260829.md","12.0","0.45","3.8","45","19.1","46.4","방어력(실측)","58.1","최종추천가능","True"
